o_tid,seq,like_num,retweet_num,quote_num,comment_num,view_num,follow_num,fan_num,post_num,date
1735470732136624624,1,329,20,1,7,5697,892,1927,12571,1702574680.0
1735470732136624624,2,7,2,0,1,386,2311,10688,15012,1702574793.0
1735470732136624624,3,242,22,3,14,6213,892,1927,12571,1702574705.0
1735470732136624624,4,4,0,0,20,835,1661,1926,31670,1702574658.0
1735470732136624624,5,61,7,0,5,824,57,671,3912,1702580236.0
1735470732136624624,6,9,2,0,0,109,259,2698,27726,1702610396.0
1735470732136624624,7,184,30,2,15,2731,1331,5998,40716,1702588983.0
1735470732136624624,8,26,1,0,1,445,113,640,7270,1702575191.0
1735470732136624624,9,177,6,0,7,2333,2512,2561,18517,1702583157.0
1735470732136624624,10,588,21,0,19,7390,8199,9766,10966,1702574708.0
1735470732136624624,11,0,0,0,0,4,185,114,1237,1702621376.0
1735470732136624624,12,78,9,0,2,965,3785,3274,11265,1702574724.0
1735470732136624624,13,0,0,0,0,10,764,380,30600,1702607019.0
1735470732136624624,14,1,0,0,0,20,2578,1425,13187,1702627492.0
1735470732136624624,15,46,0,0,2,1725,304,570,6671,1702574992.0
1735470732136624624,16,101,1,0,5,2048,70,323,4242,1702578376.0
1735470732136624624,17,3,0,0,0,46,1230,1087,18705,1702614841.0
1735470732136624624,18,0,0,0,0,16,129,109,3733,1702624708.0
1735470732136624624,19,0,0,0,0,21,356,615,7875,1702634835.0
1735470732136624624,20,0,0,0,0,2,283,288,2365,1702644953.0
1735470732136624624,21,1,0,0,0,32,0,104,8100,1702611625.0
1735470732136624624,22,4,0,0,0,61,2011,3012,22739,1702613690.0
1735470732136624624,23,1,0,0,0,43,2825,6056,14708,1702574813.0
1735470732136624624,24,6,0,0,1,622,63,727,1087,1702575262.0
1735470732136624624,25,1,0,0,0,21,234,254,7866,1702654852.0
1735470732136624624,26,4,0,0,1,49,815,1854,75114,1702620766.0
1735470732136624624,27,0,0,0,0,5,25,45,1498,1702648890.0
1735470732136624624,28,2,0,0,0,10,287,365,5553,1702621325.0
1735470732136624624,29,11,2,0,4,1039,5209,25127,99688,1702574772.0
