o_tid,seq,like_num,retweet_num,quote_num,comment_num,view_num,follow_num,fan_num,post_num,date
1723852425302270316,1,470,7,0,6,15320,1425,3379,26113,1699805123.0
1723852425302270316,2,3617,239,4,102,45093,392,24796,24540,1699805358.0
1723852425302270316,3,7,0,0,1,121,1162,1618,5643,1699807390.0
1723852425302270316,4,8,1,0,1,447,2184,1960,30128,1699804750.0
1723852425302270316,5,77,3,0,5,2892,259,2698,27726,1699804855.0
1723852425302270316,6,9,1,0,0,89,602,1172,10668,1699815257.0
1723852425302270316,7,1,1,0,1,28,110,382,27423,1699880493.0
1723852425302270316,8,976,40,0,34,23402,1969,3976,26203,1699808020.0
1723852425302270316,9,2,0,0,1,59,542,458,5172,1699849602.0
1723852425302270316,10,6,1,0,0,68,108,941,11230,1699881325.0
1723852425302270316,11,34,1,0,3,1234,4779,8121,29490,1699805434.0
1723852425302270316,12,0,0,0,0,54,153,1017,7494,1699886011.0
1723852425302270316,13,1,0,0,0,9,402,170,6698,1699936683.0
1723852425302270316,14,76,1,0,1,2259,1521,3692,63315,1699804677.0
1723852425302270316,15,24,1,0,1,2414,8343,9097,12240,1699805099.0
1723852425302270316,16,45,0,0,3,2816,381,1022,3892,1699805340.0
1723852425302270316,17,3,0,0,1,74,552,781,14834,1699839826.0
1723852425302270316,18,0,0,0,0,3,1166,783,11608,1699872352.0
1723852425302270316,19,0,0,0,0,26,183,300,18045,1699876409.0
1723852425302270316,20,1,0,0,0,26,469,1725,26615,1699900425.0
1723852425302270316,21,0,0,0,1,22,2082,904,30623,1699870080.0
1723852425302270316,22,45,7,0,2,828,1551,17279,15292,1699805956.0
1723852425302270316,23,10,2,0,1,239,2208,2845,18668,1699805903.0
1723852425302270316,24,66,4,0,3,2027,438,944,9373,1699810154.0
1723852425302270316,25,1307,107,1,9,18086,9366,10323,29298,1699804894.0
1723852425302270316,26,46,2,0,0,751,48,311,8031,1699805210.0
1723852425302270316,27,0,0,0,0,13,499,333,2699,1700036405.0
1723852425302270316,28,653,9,0,39,24987,225,68155,195077,1699805359.0
1723852425302270316,29,3,1,0,0,209,2066,2982,62321,1699810307.0
1723852425302270316,30,17,0,0,3,394,9882,44888,14091,1699811011.0
1723852425302270316,31,0,0,0,0,34,221,153,13552,1699886206.0
1723852425302270316,32,20,3,0,0,211,8412,7830,16983,1699810572.0
1723852425302270316,33,0,0,0,0,24,486,2179,14249,1699859101.0
1723852425302270316,34,289,17,0,30,13755,10228,40246,455901,1699804706.0
1723852425302270316,35,0,0,0,0,9,472,730,17214,1699886900.0
1723852425302270316,36,0,0,0,0,0,25,4,325,1699888370.0
1723852425302270316,37,16,1,0,1,1214,5191,21183,20189,1699804661.0
1723852425302270316,38,3403,89,5,89,48230,2025,61931,15943,1699804689.0
1723852425302270316,39,16,2,0,9,2504,2482,39273,80733,1699804775.0
1723852425302270316,40,2,0,0,0,193,12982,38744,101775,1699805626.0
1723852425302270316,41,80,1,0,4,1189,1443,3354,34876,1699808478.0
1723852425302270316,42,3810,136,5,153,64634,224,573,7320,1699804926.0
1723852425302270316,43,57,2,0,2,795,254,3346,8957,1699806118.0
1723852425302270316,44,973,30,1,41,34603,198,7344,16234,1699804765.0
1723852425302270316,45,376,8,0,17,9134,4361,2370,5034,1699804886.0
1723852425302270316,46,29,2,0,10,2420,895,800,6496,1699805356.0
1723852425302270316,47,984,57,0,27,14691,47354,44084,3839,1699808886.0
1723852425302270316,48,64,1,0,7,3105,2700,45127,58589,1699811519.0
1723852425302270316,49,121,3,0,1,1578,9014,8344,28104,1699808669.0
1723852425302270316,50,28,0,2,109,7386,2924,4623,5582,1699804652.0
1723852425302270316,51,5,0,0,2,298,22,23395,5917,1699804896.0
1723852425302270316,52,15,1,0,1,377,2285,6212,15764,1699804857.0
1723852425302270316,53,0,0,0,0,27,194,1285,31938,1699839233.0
1723852425302270316,54,0,0,0,0,11,221,298,8405,1699978343.0
1723852425302270316,55,1,0,0,0,46,370,1795,3998,1699804876.0
1723852425302270316,56,45,1,0,0,987,614,52148,34879,1699806968.0
1723852425302270316,57,19,2,0,1,204,898,3794,6808,1699808266.0
1723852425302270316,58,372,26,0,3,5766,15715,47262,411168,1699815326.0
1723852425302270316,59,4,0,0,4,87,120,25224,5147,1699849677.0
1723852425302270316,60,0,0,0,1,16,1021,329,5832,1699860801.0
1723852425302270316,61,0,0,0,1,31,155,69,2281,1699864195.0
1723852425302270316,62,74,3,1,3,1106,636,81237,6971,1699808186.0
1723852425302270316,63,10,0,0,0,111,5948,5457,74847,1699815246.0
1723852425302270316,64,27,0,0,0,496,44812,48013,14678,1699819812.0
1723852425302270316,65,0,0,0,0,2,81,65,519,1699874913.0
1723852425302270316,66,0,0,0,0,34,3785,2593,2333,1699876490.0
1723852425302270316,67,0,0,0,0,8,163,43,972,1699891021.0
1723852425302270316,68,0,0,0,0,6,1746,679,796,1699962727.0
1723852425302270316,69,0,0,0,0,35,75,23,2853,1699897078.0
1723852425302270316,70,8,0,0,1,167,4998,2662,3579,1699808722.0
1723852425302270316,71,60,1,0,1,2420,3964,8808,141380,1699804974.0
1723852425302270316,72,77,1,0,5,2896,5202,5578,60611,1699809358.0
1723852425302270316,73,0,0,0,0,1,109,61,335,1699914275.0
1723852425302270316,74,1,1,1,3,167,889,24636,4566,1699926315.0
1723852425302270316,75,8,0,0,0,82,421,6190,12239,1699807401.0
1723852425302270316,76,0,0,0,0,20,936,315,436,1699885021.0
1723852425302270316,77,1,0,0,0,24,630,1106,19590,1699890798.0
1723852425302270316,78,0,0,0,0,7,89,39,1154,1699956214.0
1723852425302270316,79,0,0,0,0,7,1969,1288,7206,1699957399.0
1723852425302270316,80,10,0,0,6,462,997,790,30472,1699804648.0
1723852425302270316,81,23,3,0,1,1324,273,439,6935,1699805006.0
1723852425302270316,82,1,0,0,0,11,748,149,457,1699960837.0
1723852425302270316,83,2,0,0,0,37,5596,6203,48639,1700038265.0
1723852425302270316,84,0,0,0,0,27,43,332,5873,1699887473.0
1723852425302270316,85,4,0,0,3,404,625,1031,2480,1699804705.0
1723852425302270316,86,9,0,0,3,328,29,5882,6794,1699804724.0
1723852425302270316,87,42,2,0,1,2392,396,1512,4957,1699805050.0
1723852425302270316,88,18,1,0,7,2011,251,834,1184,1699805090.0
1723852425302270316,89,44,8,0,30,5001,3906,7797,15498,1699805537.0
1723852425302270316,90,132,19,1,86,6363,110749,170842,338622,1699805655.0
1723852425302270316,91,2,0,0,0,31,4461,4292,22846,1699812778.0
1723852425302270316,92,0,0,0,1,58,30,199,2892,1699849452.0
1723852425302270316,93,13,0,0,2,557,13652,25154,7395,1699804710.0
1723852425302270316,94,2,0,0,0,334,1556,49703,286962,1699804925.0
1723852425302270316,95,82,2,0,4,3111,1313,29363,95467,1699805306.0
1723852425302270316,96,67,1,0,1,3178,4938,3934,87268,1699805597.0
1723852425302270316,97,17,0,0,1,241,593,884,3702,1699805610.0
1723852425302270316,98,5,0,0,0,61,141,374,2126,1699805811.0
1723852425302270316,99,6,0,0,0,268,9771,8904,124079,1699806011.0
1723852425302270316,100,157,17,1,15,2689,2350,33755,17839,1699809491.0
1723852425302270316,101,1,0,0,0,22,169,86,9385,1699889431.0
1723852425302270316,102,41,2,0,0,610,12592,12752,81148,1699807904.0
1723852425302270316,103,7,0,0,0,57,1250,1190,99006,1699809078.0
1723852425302270316,104,810,21,0,13,9670,141712,161338,31269,1699809688.0
1723852425302270316,105,4,0,0,1,254,439,8123,3529,1699810427.0
1723852425302270316,106,2,0,0,0,106,215,422,16277,1699822087.0
1723852425302270316,107,48,2,0,0,722,796,40234,16156,1699822493.0
1723852425302270316,108,4,0,0,0,71,9391,13144,23455,1699836441.0
1723852425302270316,109,6,5,0,1,137,4993,1841,36248,1699852444.0
1723852425302270316,110,9,0,0,0,73,11236,10799,115976,1699859655.0
1723852425302270316,111,34,0,0,5,3773,1985,1000,19046,1699804707.0
1723852425302270316,112,9,0,0,1,542,409,66625,24066,1699804929.0
1723852425302270316,113,557,7,0,24,16838,179,91,694,1699805607.0
1723852425302270316,114,62,9,1,1,622,26689,26492,12596,1699822036.0
1723852425302270316,115,69,2,0,1,987,1204,103831,110075,1699824223.0
1723852425302270316,116,2,0,0,0,132,2820,7938,3330,1699842167.0
1723852425302270316,117,79,4,0,1,1551,2133,128183,47513,1699847108.0
1723852425302270316,118,2,0,0,0,41,588,8072,240839,1699851116.0
1723852425302270316,119,2,0,0,1,73,441,391,8101,1699862115.0
1723852425302270316,120,2,0,0,1,66,328,184,1251,1699863064.0
1723852425302270316,121,1,0,0,2,75,6641,8923,15419,1699857121.0
1723852425302270316,122,2,0,0,1,32,201,609,1392,1699870931.0
1723852425302270316,123,2,0,0,0,49,2348,871,9938,1699871336.0
1723852425302270316,124,0,0,0,1,36,545,256,4105,1699872050.0
1723852425302270316,125,6,0,0,0,76,6000,6387,49266,1699872549.0
1723852425302270316,126,0,0,0,0,20,66,21,1661,1699882906.0
1723852425302270316,127,2,1,0,0,70,678,14436,64300,1699889107.0
1723852425302270316,128,0,0,0,0,7,182,168,2310,1699943054.0
1723852425302270316,129,2,0,0,0,23,174,1321,608,1699948556.0
1723852425302270316,130,1,0,0,0,13,37,326,2216,1699953931.0
1723852425302270316,131,19,1,0,0,614,42972,50226,31446,1699821523.0
1723852425302270316,132,39,2,0,0,431,32931,79093,46109,1699858177.0
1723852425302270316,133,1,0,0,1,53,445,584,22165,1699868144.0
1723852425302270316,134,0,0,0,0,2,2893,2455,10874,1699873717.0
1723852425302270316,135,2,0,0,0,47,4056,3825,31843,1699878885.0
1723852425302270316,136,0,0,0,0,13,226,120,2226,1699884923.0
1723852425302270316,137,0,0,0,0,14,5002,3465,35427,1699938926.0
1723852425302270316,138,0,0,0,0,10,1057,441,3856,1699956901.0
1723852425302270316,139,0,0,0,0,538,301,11245,4944,1699956906.0
1723852425302270316,140,671,34,0,16,8793,31021,33769,26481,1699808220.0
1723852425302270316,141,90,4,0,10,4958,6376,6865,26180,1699805911.0
1723852425302270316,142,1,0,0,0,12,6685,6839,102181,1699881062.0
1723852425302270316,143,0,0,0,0,24,34,116,922,1699883168.0
1723852425302270316,144,0,0,0,0,34,426,205,9277,1699893212.0
1723852425302270316,145,0,0,0,0,29,202,337,16440,1699893804.0
1723852425302270316,146,1,0,0,0,29,306,380,3197,1699910623.0
1723852425302270316,147,43,2,0,1,500,14157,13135,19425,1699812592.0
1723852425302270316,148,403,9,0,9,4408,783,4947,155578,1699807991.0
1723852425302270316,149,702,29,0,25,11752,5207,7788,52831,1699810140.0
1723852425302270316,150,4,1,0,0,733,6511,11471,16874,1699804899.0
1723852425302270316,151,56,1,0,2,2615,638,75171,80164,1699813131.0
1723852425302270316,152,8,0,0,0,82,2797,1578,8106,1699819128.0
1723852425302270316,153,1,0,0,1,46,820,475,6404,1699859077.0
1723852425302270316,154,3,0,0,0,52,2701,961,13960,1699861795.0
1723852425302270316,155,59,1,0,2,541,34775,38907,40292,1699864928.0
1723852425302270316,156,0,0,0,1,76,488,519,2422,1699868953.0
1723852425302270316,157,0,0,0,0,35,1830,477,13656,1699885255.0
1723852425302270316,158,0,0,0,1,19,359,479,7941,1699958364.0
1723852425302270316,159,0,0,0,0,30,40510,47013,375328,1700077666.0
1723852425302270316,160,5,0,0,1,77,313,518,5183,1699805149.0
1723852425302270316,161,12,0,0,0,179,4441,5379,12582,1699809191.0
1723852425302270316,162,0,0,0,0,19,378,409,8538,1699905934.0
1723852425302270316,163,0,0,0,0,20,276,448,6554,1699880177.0
1723852425302270316,164,463,63,2,90,32271,32993,95615,61762,1699804819.0
1723852425302270316,165,0,0,0,0,57,9379,17762,33366,1699888351.0
1723852425302270316,166,1,0,0,0,41,9379,17762,33366,1699888372.0
1723852425302270316,167,0,0,0,0,24,685,227,9272,1699967723.0
1723852425302270316,168,0,0,0,0,5,82,29,675,1700048724.0
1723852425302270316,169,0,0,0,0,6,741,546,8780,1699885299.0
1723852425302270316,170,65,2,0,2,1208,11505,11616,54749,1699815367.0
1723852425302270316,171,157,12,0,3,2792,21503,40392,23786,1699808091.0
1723852425302270316,172,0,0,0,0,9,1246,928,2457,1699875000.0
1723852425302270316,173,6,0,0,0,213,4449,4920,71138,1699809286.0
1723852425302270316,174,2,0,0,0,13,219,289,4246,1699885736.0
1723852425302270316,175,710,39,0,7,11263,3829,5170,10778,1699804777.0
1723852425302270316,176,5,0,0,1,52,2681,2329,2383,1699808787.0
1723852425302270316,177,18,2,0,0,397,1105,1291,39374,1699809410.0
1723852425302270316,178,8,0,0,1,150,2932,3246,21954,1699812981.0
1723852425302270316,179,2,0,0,2,103,5271,4979,50622,1699816855.0
1723852425302270316,180,22,0,0,1,1068,951,12689,38654,1699804875.0
1723852425302270316,181,40,2,0,0,351,4998,3578,17963,1699819513.0
1723852425302270316,182,79,7,0,0,577,1085,1063,27609,1699820558.0
1723852425302270316,183,5,0,0,0,69,1085,1063,27609,1699820702.0
1723852425302270316,184,0,0,0,1,35,167,105,918,1699855866.0
1723852425302270316,185,0,0,0,1,58,223,95,3971,1699863749.0
1723852425302270316,186,1,0,0,1,41,277,68,2501,1699875457.0
1723852425302270316,187,2,0,0,1,39,329,191,5640,1699876355.0
1723852425302270316,188,0,0,0,0,30,5324,5450,96171,1699884450.0
1723852425302270316,189,0,0,0,0,23,4553,3137,3580,1699887908.0
1723852425302270316,190,8,0,0,4,219,388,451,3303,1699806045.0
1723852425302270316,191,42,3,0,2,1465,4497,2381,20610,1699807174.0
1723852425302270316,192,2,0,0,0,54,216,132,2456,1699873076.0
1723852425302270316,193,903,21,0,21,19877,1861,4328,50600,1699804821.0
1723852425302270316,194,47,1,0,2,720,10642,11980,59808,1699808095.0
1723852425302270316,195,33,2,0,0,626,2700,5029,255544,1699825400.0
1723852425302270316,196,51,1,0,0,803,23099,34279,187359,1699808882.0
1723852425302270316,197,10,0,0,1,1128,816,666,1244,1699804640.0
1723852425302270316,198,6,1,0,1,714,235,129,989,1699806529.0
1723852425302270316,199,0,0,0,1,29,984,219,3808,1699807555.0
