o_tid,seq,like_num,retweet_num,quote_num,comment_num,view_num,follow_num,fan_num,post_num,date
1335739297459265537,1,14,2,1,4,0,765,43721,55682,1607337786.0
1335739297459265537,1,619,39,6,167,0,100,8472,39901,1607271277.0
1335739297459265537,2,11,0,0,2,0,2524,108029,253286,1607357145.0
1335739297459265537,2,44,9,1,12,0,10209,56466,336504,1607271406.0
1335739297459265537,3,274,17,2,43,0,2025,61931,15949,1607271326.0
1335739297459265537,3,47,2,0,3,0,55537,147717,113448,1607283214.0
1335739297459265537,4,3065,131,19,77,0,108348,527846,222968,1607271333.0
1335739297459265537,4,5,0,0,1,0,6876,85988,331445,1607326235.0
1335739297459265537,5,827,44,1,49,0,922,48423,37499,1607271531.0
1335739297459265537,5,1948,19,0,63,0,124,1126227,32214,1607271318.0
1335739297459265537,6,6,0,0,5,0,1006,9767,35434,1607273393.0
1335739297459265537,6,43,2,1,2,0,2077,2356,23526,1607271399.0
1335739297459265537,7,11,0,0,0,0,88173,101397,29108,1607345800.0
1335739297459265537,7,827,44,1,49,0,922,48423,37499,1607271531.0
1335739297459265537,8,0,0,0,0,0,1062,1743,20564,1607354007.0
1335739297459265537,8,53,5,2,21,0,1011,65682,16968,1607271711.0
1335739297459265537,9,0,0,0,0,0,5037,5546,30701,1607360735.0
1335739297459265537,9,6,0,0,5,0,1006,9767,35434,1607273393.0
1335739297459265537,10,1948,19,0,63,0,124,1126227,32214,1607271318.0
1335739297459265537,10,33,0,0,1,0,2402,472649,55156,1607283607.0
1335739297459265537,11,621,39,6,167,0,100,8472,39901,1607271277.0
1335739297459265537,11,14,2,1,4,0,765,43721,55682,1607337786.0
1335739297459265537,12,0,0,0,1,0,41,449,23571,1607441111.0
1335739297459265537,12,3063,131,19,77,0,108347,527835,222968,1607271333.0
1335739297459265537,13,0,0,0,0,0,4776,13431,29482,1607277034.0
1335739297459265537,13,23,4,0,4,0,3321,10862,68387,1607273018.0
1335739297459265537,14,390,26,4,14,0,2562,110754,43723,1607288453.0
1335739297459265537,14,59,10,2,3,0,40452,71170,252345,1607273295.0
1335739297459265537,15,1,0,0,0,0,4998,2198,146144,1607359822.0
1335739297459265537,15,0,0,0,0,0,4776,13431,29482,1607277034.0
1335739297459265537,16,0,0,0,0,0,4998,2198,146144,1607427685.0
1335739297459265537,16,42,17,2,6,0,188774,302031,488805,1607292925.0
1335739297459265537,17,2,0,0,0,0,2229,32794,172605,1607477404.0
1335739297459265537,17,11,0,0,0,0,88173,101397,29108,1607345800.0
1335739297459265537,18,44,2,0,19,0,55,18,972,1607271252.0
1335739297459265537,18,11,0,0,2,0,2524,108029,253286,1607357145.0
1335739297459265537,19,265,3,2,178,0,27,11,408,1607271281.0
1335739297459265537,19,275,17,2,43,0,2025,61931,15943,1607271326.0
1335739297459265537,20,0,0,0,0,0,1608,3075,27322,1607271607.0
1335739297459265537,20,127,4,0,1,0,15387,20528,83983,1607278455.0
1335739297459265537,21,1091,77,15,35,0,13586,18886,59959,1607271315.0
1335739297459265537,21,390,26,4,14,0,2562,110754,43723,1607288453.0
1335739297459265537,22,151,0,0,3,0,927,2285,31452,1607271351.0
1335739297459265537,22,0,0,0,0,0,1062,1743,20564,1607354007.0
1335739297459265537,23,198,10,2,60,0,1806,44075,9401,1607271380.0
1335739297459265537,23,0,0,0,1,0,41,449,23571,1607441111.0
1335739297459265537,24,112,23,4,28,0,1806,44075,9401,1607271413.0
1335739297459265537,24,1,1,0,0,0,2229,32794,172605,1607304368.0
1335739297459265537,25,98,20,5,12,0,5041,16132,37442,1607271430.0
1335739297459265537,25,0,0,0,0,0,5037,5547,30701,1607360735.0
1335739297459265537,26,125,2,0,36,0,3,8,2412,1607271511.0
1335739297459265537,26,1,0,0,0,0,4998,2198,146144,1607359822.0
1335739297459265537,27,117,52,26,17,0,1120,11549,35721,1607271696.0
1335739297459265537,27,0,0,0,0,0,4998,2198,146144,1607427685.0
1335739297459265537,28,187,19,4,6,0,9871,9383,72828,1607272792.0
1335739297459265537,28,2,0,0,0,0,2229,32794,172605,1607477404.0
1335739297459265537,29,1433,170,20,68,0,7965,74261,53735,1607272809.0
1335739297459265537,29,1,0,0,0,0,1391,26774,37219,1607271313.0
1335739297459265537,30,58,10,3,3,0,4438,3625,78120,1607282218.0
1335739297459265537,30,198,10,2,60,0,1806,44077,9401,1607271380.0
1335739297459265537,31,44,9,1,12,0,10209,56443,336504,1607271406.0
1335739297459265537,31,110,5,2,16,0,17489,20206,71008,1607271277.0
1335739297459265537,32,5,0,0,1,0,6876,85988,331445,1607326235.0
1335739297459265537,32,265,3,2,178,0,27,11,408,1607271281.0
1335739297459265537,33,47,2,0,3,0,55537,147716,113448,1607283214.0
1335739297459265537,33,0,0,0,1,0,253,179,2079,1607271385.0
1335739297459265537,34,43,2,1,2,0,2077,2357,23526,1607271399.0
1335739297459265537,34,47,18,8,45,0,47403,62560,31347,1607271400.0
1335739297459265537,35,53,5,2,21,0,1011,65682,16968,1607271711.0
1335739297459265537,35,125,2,0,36,0,3,8,2412,1607271511.0
1335739297459265537,36,33,0,0,1,0,2402,472647,55156,1607283607.0
1335739297459265537,36,43,0,0,1,0,10702,14123,51354,1607271632.0
1335739297459265537,37,23,4,0,4,0,3321,10862,68387,1607273018.0
1335739297459265537,37,343,4,0,11,0,10161,38869,63360,1607271682.0
1335739297459265537,38,59,10,2,3,0,40452,71170,252345,1607273295.0
1335739297459265537,38,94,5,2,86,0,1269,728,8546,1607271862.0
1335739297459265537,39,42,17,2,6,0,188774,302031,488805,1607292925.0
1335739297459265537,39,17,2,0,3,0,3081,42388,135087,1607272061.0
1335739297459265537,40,1,1,0,0,0,2229,32794,172605,1607304368.0
1335739297459265537,40,0,0,0,2,0,3320,2343,101812,1607272276.0
1335739297459265537,41,127,4,0,1,0,15387,20528,83983,1607278455.0
1335739297459265537,41,216,3,1,6,0,2809,4217,214469,1607271331.0
1335739297459265537,42,103,5,1,104,0,154,39,1320,1607271466.0
1335739297459265537,42,402,13,1,24,0,34309,55739,72209,1607273282.0
1335739297459265537,43,58,4,4,16,0,4987,4446,89855,1607271573.0
1335739297459265537,43,53,0,0,5,0,8239,7507,11139,1607273847.0
1335739297459265537,44,43,0,0,1,0,10702,14123,51354,1607271632.0
1335739297459265537,44,2,0,0,0,0,12049,14919,56130,1607274411.0
1335739297459265537,45,54,2,1,10,0,4987,4446,89855,1607271746.0
1335739297459265537,45,15,1,0,25,0,1619,1016,15713,1607297318.0
1335739297459265537,46,94,5,2,86,0,1269,728,8546,1607271862.0
1335739297459265537,46,0,0,0,1,0,50,46,1589,1607301256.0
1335739297459265537,47,17,2,0,3,0,3081,42388,135087,1607272061.0
1335739297459265537,47,2,0,0,1,0,16940,15249,180317,1607334790.0
1335739297459265537,48,3,0,0,0,0,165,47,14183,1607272203.0
1335739297459265537,48,16,2,0,2,0,87,2606,1841,1607346164.0
1335739297459265537,49,74,3,1,4,0,7573,6931,59319,1607272358.0
1335739297459265537,49,1,0,0,0,0,6746,9216,50785,1607364413.0
1335739297459265537,50,30,0,0,1,0,6,2606,18128,1607274494.0
1335739297459265537,50,1,0,0,0,0,4991,3272,145320,1607371719.0
1335739297459265537,51,25,1,0,2,0,3138,1440,9884,1607271267.0
1335739297459265537,51,80,0,0,4,0,2245,3107,138675,1607271319.0
1335739297459265537,52,109,5,2,16,0,17489,20206,71008,1607271277.0
1335739297459265537,52,20,0,0,1,0,6362,10757,262133,1607271388.0
1335739297459265537,53,18,0,0,2,0,2874,798,19516,1607271284.0
1335739297459265537,53,83,0,0,0,0,863,26233,163152,1607271483.0
1335739297459265537,54,69,3,0,19,0,34795,95731,245934,1607271290.0
1335739297459265537,54,39,0,0,10,0,64,9,56,1607271541.0
1335739297459265537,55,244,18,6,8,0,681,21942,100849,1607271298.0
1335739297459265537,55,260,2,0,5,0,6,2606,18128,1607271546.0
1335739297459265537,56,54,3,3,6,0,34795,95731,245934,1607271306.0
1335739297459265537,56,58,4,4,16,0,4987,4446,89855,1607271573.0
1335739297459265537,57,372,2,0,7,0,5836,5354,41703,1607271316.0
1335739297459265537,57,54,2,1,10,0,4987,4446,89855,1607271746.0
1335739297459265537,58,80,0,0,4,0,2245,3107,138675,1607271319.0
1335739297459265537,58,3,0,0,0,0,165,47,14183,1607272203.0
1335739297459265537,59,234,11,0,3,0,681,21942,100849,1607271320.0
1335739297459265537,59,74,3,1,4,0,7573,6931,59319,1607272358.0
1335739297459265537,60,238,28,2,9,0,681,21942,100849,1607271327.0
1335739297459265537,60,53,2,0,1,0,3662,3750,68896,1607272741.0
1335739297459265537,61,4,0,0,1,0,872,2164,9189,1607271415.0
1335739297459265537,61,25,1,0,2,0,3138,1440,9884,1607271267.0
1335739297459265537,62,343,4,0,11,0,10161,38869,63360,1607271682.0
1335739297459265537,62,103,5,1,104,0,154,39,1320,1607271466.0
1335739297459265537,63,94,7,0,3,0,25380,26780,117167,1607272224.0
1335739297459265537,63,187,19,4,6,0,9871,9383,72828,1607272792.0
1335739297459265537,64,11,1,0,1,0,2440,1489,117131,1607272311.0
1335739297459265537,64,20,1,0,1,0,53729,50461,43126,1607272967.0
1335739297459265537,65,456,38,7,4,0,13586,18886,59959,1607272626.0
1335739297459265537,65,145,7,0,2,0,9871,9383,72828,1607273190.0
1335739297459265537,66,38,0,0,0,0,9327,16185,83346,1607274237.0
1335739297459265537,66,35,3,0,4,0,5041,16132,37442,1607273702.0
1335739297459265537,67,4,1,0,0,0,21017,22432,90506,1607276793.0
1335739297459265537,67,7,3,0,0,0,4303,4269,403113,1607274030.0
1335739297459265537,68,24,9,1,0,0,4438,3625,78111,1607282077.0
1335739297459265537,68,38,0,0,0,0,9327,16185,83346,1607274237.0
1335739297459265537,69,24,2,3,0,0,2815,104960,180825,1607287287.0
1335739297459265537,69,4,1,0,0,0,21017,22432,90506,1607276793.0
1335739297459265537,70,30,1,0,3,0,102,2010,12064,1607293928.0
1335739297459265537,70,33,1,0,1,0,3440,78150,184578,1607278212.0
1335739297459265537,71,0,0,0,1,0,90,1,134,1607271450.0
1335739297459265537,71,44,2,0,19,0,55,18,972,1607271252.0
1335739297459265537,72,7,3,0,0,0,4303,4269,403113,1607274030.0
1335739297459265537,72,18,0,0,2,0,2874,798,19516,1607271284.0
1335739297459265537,73,0,0,0,0,0,378,166,312,1607290382.0
1335739297459265537,73,151,0,0,3,0,927,2285,31452,1607271351.0
1335739297459265537,74,4,0,0,0,0,38664,35604,74549,1607345555.0
1335739297459265537,74,255,5,2,19,0,39,293,10691,1607271575.0
1335739297459265537,75,3,0,0,0,0,133077,120976,120948,1607347238.0
1335739297459265537,75,29,0,0,0,0,83,26163,65761,1607271763.0
1335739297459265537,76,1,0,0,0,0,3873,6831,92526,1607347367.0
1335739297459265537,76,2,0,0,1,0,829,11331,53848,1607273718.0
1335739297459265537,77,1,0,0,0,0,458,175,28289,1607351159.0
1335739297459265537,77,13,2,0,2,0,2795,1726,45498,1607274603.0
1335739297459265537,78,1,0,0,0,0,156,20,365,1607352881.0
1335739297459265537,78,2,0,0,0,0,15770,26879,320805,1607276371.0
1335739297459265537,79,1,0,0,0,0,29,13,1102,1607355670.0
1335739297459265537,79,7,0,0,1,0,26558,24738,181662,1607285842.0
1335739297459265537,80,1,0,0,0,0,1617,227,15417,1607357800.0
1335739297459265537,80,0,0,0,1,0,311,225,6544,1607287183.0
1335739297459265537,81,20,0,0,1,0,6362,10757,262133,1607271388.0
1335739297459265537,81,0,0,0,0,0,7459,7761,95266,1607432942.0
1335739297459265537,82,83,0,0,0,0,863,26233,163152,1607271483.0
1335739297459265537,82,0,0,0,0,0,7459,7761,95266,1607432983.0
1335739297459265537,83,260,2,0,5,0,6,2606,18128,1607271546.0
1335739297459265537,83,0,0,0,0,0,2524,108029,253286,1607783989.0
1335739297459265537,84,9,0,0,6,0,17296,28974,15419,1607271791.0
1335739297459265537,84,0,0,0,0,0,3394,1627,12675,1607425920.0
1335739297459265537,85,20,1,0,1,0,53729,50461,43126,1607272967.0
1335739297459265537,85,0,0,0,0,0,2854,3488,31558,1607353009.0
1335739297459265537,86,145,7,0,2,0,9871,9383,72828,1607273190.0
1335739297459265537,86,2,0,0,2,0,2854,3488,31558,1607353222.0
1335739297459265537,87,1,0,0,1,0,47,9,574,1607273679.0
1335739297459265537,87,9,2,0,1,0,88,54,1121,1607347285.0
1335739297459265537,88,35,3,0,4,0,5041,16132,37442,1607273702.0
1335739297459265537,88,12,4,0,0,0,857,52847,21411,1607348023.0
1335739297459265537,89,6,2,0,0,0,5959,6994,35064,1607274198.0
1335739297459265537,89,6,0,0,1,0,39,39,2180,1607353416.0
1335739297459265537,90,2,0,0,0,0,15770,26879,320805,1607276371.0
1335739297459265537,90,69,3,0,19,0,34795,95731,245934,1607271290.0
1335739297459265537,91,39,0,0,10,0,64,9,56,1607271541.0
1335739297459265537,91,54,3,3,6,0,34795,95731,245934,1607271306.0
1335739297459265537,92,29,0,0,0,0,83,26163,65761,1607271763.0
1335739297459265537,92,372,2,0,7,0,5836,5354,41703,1607271316.0
1335739297459265537,93,7,0,0,1,0,26558,24738,181662,1607285842.0
1335739297459265537,93,0,0,0,1,0,982,463,1446,1607271408.0
1335739297459265537,94,8,0,0,1,0,640,75056,26674,1607287339.0
1335739297459265537,94,112,23,4,28,0,1806,44075,9401,1607271413.0
1335739297459265537,95,3,0,0,1,0,5004,2962,56326,1607306808.0
1335739297459265537,95,117,52,26,17,0,1120,11549,35721,1607271696.0
1335739297459265537,96,3,0,0,0,0,1095,1223,46960,1607321879.0
1335739297459265537,96,94,7,0,3,0,25380,26781,117167,1607272224.0
1335739297459265537,97,0,0,0,0,0,358,64,12146,1607345377.0
1335739297459265537,97,216,1,2,54,0,236,111,12373,1607272274.0
1335739297459265537,98,0,0,0,0,0,12,1,26,1607345696.0
1335739297459265537,98,1433,170,20,68,0,7965,74261,53735,1607272809.0
1335739297459265537,99,0,0,0,0,0,239,44,1287,1607346122.0
1335739297459265537,99,1091,77,15,35,0,13586,18886,59959,1607271315.0
