o_tid,seq,like_num,retweet_num,quote_num,comment_num,view_num,follow_num,fan_num,post_num,date
1714650039828820333,1,5485,419,8,134,99609,459,13076,51593,1697611322.0
1714650039828820333,2,143,8,1,3,2705,6970,6972,32183,1697615484.0
1714650039828820333,3,935,52,2,18,22178,6076,13675,26902,1697617002.0
1714650039828820333,4,958,30,1,16,48937,386,602,23340,1697630836.0
1714650039828820333,5,241,10,1,35,15773,27118,29277,64827,1697610658.0
1714650039828820333,6,192,22,0,5,6849,335,2124,11778,1697611289.0
1714650039828820333,7,125,10,1,3,6758,222,9020,25269,1697611560.0
1714650039828820333,8,294,42,1,11,5419,13800,14629,26684,1697617696.0
1714650039828820333,9,170,9,1,26,8799,1238,1284,46693,1697620675.0
1714650039828820333,10,30,6,1,8,7164,656,3873,42867,1697631524.0
1714650039828820333,11,2,0,0,0,76,6459,12300,18468,1697751202.0
1714650039828820333,12,20,4,0,5,851,1086,1495,13897,1697709661.0
1714650039828820333,13,48,19,0,0,1230,5194,315757,30658,1697747021.0
1714650039828820333,14,2,0,0,0,645,3968,1221,17322,1697798150.0
1714650039828820333,15,2,0,0,0,156,3013,3517,107125,1698038680.0
1714650039828820333,16,2,0,0,0,76,3538,6338,23707,1698038946.0
1714650039828820333,17,2,0,0,0,33,5003,1438,39828,1697763500.0
1714650039828820333,18,13,2,0,1,241,5817,120622,14407,1697703169.0
1714650039828820333,19,1,0,0,1,52,896,1009,16227,1698554415.0
1714650039828820333,20,0,0,0,0,7,4965,1638,11684,1697727373.0
1714650039828820333,21,234,19,1,7,5492,3060,4481,25720,1697610701.0
1714650039828820333,22,348,13,2,27,10180,2370,7755,17565,1697610800.0
1714650039828820333,23,3098,240,5,58,43178,306,8038,47177,1697610890.0
1714650039828820333,24,62,3,1,5,2598,423,2231,18831,1697641014.0
1714650039828820333,25,9,1,0,0,406,423,2231,18831,1697770003.0
1714650039828820333,26,161,13,1,5,4967,490,1056,10229,1697610962.0
1714650039828820333,27,108,47,6,9,19417,50,8738,14068,1697632165.0
1714650039828820333,28,25,0,1,0,1854,469,1726,26615,1697647828.0
1714650039828820333,29,119,8,0,6,4189,708,864,19205,1697659727.0
1714650039828820333,30,3,0,0,0,57,142,430,29738,1697716621.0
1714650039828820333,31,604,36,2,38,21608,2025,61931,15949,1697610667.0
1714650039828820333,32,552,14,1,57,65630,2812,24781,19669,1697610675.0
1714650039828820333,33,298,29,3,31,12606,250,2994,8091,1697610743.0
1714650039828820333,34,6432,474,8,125,61069,96287,526212,91966,1697611215.0
1714650039828820333,35,130,10,1,2,6454,3260,4607,27526,1697611481.0
1714650039828820333,36,153,6,1,56,24211,829,1628,27081,1697611699.0
1714650039828820333,37,1059,112,1,9,55067,1140,3156046,40698,1697619328.0
1714650039828820333,38,79,3,1,11,3075,11188,11764,15736,1697642233.0
1714650039828820333,39,183,15,0,9,16814,5191,21184,20189,1697610657.0
1714650039828820333,40,528,41,5,102,35630,418,2142,6349,1697611846.0
1714650039828820333,41,141,15,1,9,4454,1859,109146,106900,1697613236.0
1714650039828820333,42,134,19,0,5,2399,3047,192435,15558,1697613317.0
1714650039828820333,43,3138,150,2,34,32946,125908,200183,21762,1697614761.0
1714650039828820333,44,643,33,5,83,41902,989,63595,43498,1697623025.0
1714650039828820333,45,117,5,2,26,11473,1665,91796,50315,1697640852.0
1714650039828820333,46,419,46,1,9,11884,7384,7505,31558,1697618177.0
1714650039828820333,47,15,1,1,2,1173,176,607,8397,1697626558.0
1714650039828820333,48,5,0,0,1,856,1777,22230,41514,1697678050.0
1714650039828820333,49,0,0,0,0,8,73,104,68,1697717508.0
1714650039828820333,50,2,0,0,0,33,2185,780,2475,1697780349.0
1714650039828820333,51,143,6,1,10,25917,6,16350,67329,1697610658.0
1714650039828820333,52,2411,248,4,37,50610,9964,35025,53696,1697610856.0
1714650039828820333,53,60,11,0,10,4674,5027,22233,81181,1697610874.0
1714650039828820333,54,57,2,1,7,4734,398,1302,18944,1697610907.0
1714650039828820333,55,82,6,1,9,14784,4180,1482,17731,1697610918.0
1714650039828820333,56,326,95,7,7,18673,380,245106,141949,1697611113.0
1714650039828820333,57,45,4,0,0,13982,5191,21184,20189,1697610679.0
1714650039828820333,58,5938,318,7,57,81128,5817,120622,14407,1697613232.0
1714650039828820333,59,139,18,3,0,1736,1346,21536,8092,1697615484.0
1714650039828820333,60,24,3,0,1,354,329,7642,64399,1697619730.0
1714650039828820333,61,151,3,1,8,3889,2978,5925,20492,1697612322.0
1714650039828820333,62,22,5,1,6,1554,1109,2344,43950,1697614931.0
1714650039828820333,63,400,23,2,8,39841,8863,8408,14285,1697611008.0
1714650039828820333,64,5205,540,4,126,82508,3079,33922,522421,1697611184.0
1714650039828820333,65,10,0,0,6,11573,19354,22275,16837,1697611260.0
1714650039828820333,66,207,28,3,31,46741,4180,1482,17731,1697611261.0
1714650039828820333,67,411,18,2,29,17482,3373,7667,150148,1697611553.0
1714650039828820333,68,390,59,0,9,9544,753,3302,58828,1697611583.0
1714650039828820333,69,198,28,2,46,8904,8264,7650,24256,1697620278.0
1714650039828820333,70,264,10,2,12,6645,1118,34018,14516,1697623817.0
1714650039828820333,71,2,0,0,0,1295,68,360,8875,1697696637.0
1714650039828820333,72,1,0,0,0,15,2445,425,23487,1697715857.0
1714650039828820333,73,199,21,1,11,11450,1584,42052,11330,1697612491.0
1714650039828820333,74,35,0,1,3,20380,5331,222363,233133,1697687250.0
1714650039828820333,75,59,6,0,2,27222,5331,222363,233133,1697687273.0
1714650039828820333,76,24,1,0,0,558,2176,2794,16106,1697640474.0
1714650039828820333,77,44,3,1,3,4509,1721,4620,50109,1697610669.0
1714650039828820333,78,66,4,1,13,21991,5888,7925,35894,1697610813.0
1714650039828820333,79,261,16,1,1,5730,516,30445,114045,1697610954.0
1714650039828820333,80,2191,98,3,29,49537,2547,3000,17184,1697611108.0
1714650039828820333,81,191,5,2,17,4118,55000,64020,115423,1697611173.0
1714650039828820333,82,524,19,3,11,16758,2755,6174,266099,1697611362.0
1714650039828820333,83,55,9,1,1,17268,617,189631,3085,1697611814.0
1714650039828820333,84,16,1,0,2,614,444,56840,17014,1697611846.0
1714650039828820333,85,504,59,2,24,31864,22514,46230,74982,1697611901.0
1714650039828820333,86,113,4,1,12,4476,4994,3035,8811,1697611008.0
1714650039828820333,87,56,0,0,1,6257,3402,4105,289235,1697692687.0
1714650039828820333,88,302,4,5,68,42077,2040,6704,63214,1697610803.0
1714650039828820333,89,5,0,0,1,299,152,67,1325,1697693781.0
1714650039828820333,90,73,2,1,10,3018,2501,1325,18849,1697610666.0
1714650039828820333,91,307,21,0,5,18353,4428,6549,30387,1697611041.0
1714650039828820333,92,98,1,2,29,8904,1135,2047,26362,1697611700.0
1714650039828820333,93,512,18,1,7,12817,2229,1468,35788,1697613091.0
1714650039828820333,94,49,3,0,4,479,13519,13430,15944,1697628956.0
1714650039828820333,95,351,22,3,57,19296,2852,2987,5839,1697611063.0
1714650039828820333,96,2194,99,3,63,39314,69,347789,6063,1697610672.0
1714650039828820333,97,30,3,2,7,2635,202,9210,8525,1697612720.0
1714650039828820333,98,2,1,0,0,1754,370,1748,7913,1697612874.0
1714650039828820333,99,377,2,1,16,49755,5553,62359,40034,1697613262.0
1714650039828820333,100,8,4,1,0,979,10038,10382,369515,1697613456.0
1714650039828820333,101,18,4,0,0,431,602,89861,62846,1697613700.0
1714650039828820333,102,479,87,3,27,33083,22514,46230,74982,1697614017.0
1714650039828820333,103,63,5,2,7,3233,1805,1464,41502,1697614136.0
1714650039828820333,104,131,20,1,2,3783,16504,16376,17588,1697614376.0
1714650039828820333,105,41,7,0,6,2002,1377,20188,75970,1697617346.0
1714650039828820333,106,1,0,0,0,66,58,44,2028,1697783640.0
1714650039828820333,107,69,9,2,7,2602,5856,6065,21967,1697615228.0
1714650039828820333,108,1,0,0,0,9,2476,1550,20049,1699243215.0
1714650039828820333,109,221,5,1,3,9208,530,22440,8936,1697611048.0
1714650039828820333,110,43,4,0,6,759,4483,4677,59617,1697614298.0
1714650039828820333,111,106,12,1,16,5310,9362,25354,91892,1697614978.0
1714650039828820333,112,99,16,4,4,3425,1085,1063,27609,1697630037.0
1714650039828820333,113,168,4,0,2,6869,1049,45631,30371,1697634114.0
1714650039828820333,114,29,1,2,12,14154,6376,6865,26180,1697657615.0
1714650039828820333,115,169,4,0,23,27658,2334,1835,11559,1697657656.0
1714650039828820333,116,12,0,1,5,1279,448,3962,9859,1697610780.0
1714650039828820333,117,61,13,1,1,2426,292,134606,296571,1697611467.0
1714650039828820333,118,633,22,3,19,7596,1031,40239,121536,1697611583.0
1714650039828820333,119,6,3,1,1,624,500,19370,8675,1697612657.0
1714650039828820333,120,1,0,0,0,47,1094,12535,48553,1697613263.0
1714650039828820333,121,77,2,1,16,15662,222,99966,33046,1697613463.0
1714650039828820333,122,827,100,5,71,65200,223,17445,22911,1697613758.0
1714650039828820333,123,65,2,1,23,9241,1283,2168,7146,1697618652.0
1714650039828820333,124,2034,77,2,42,49144,4952,4640,14462,1697619210.0
1714650039828820333,125,315,35,4,40,16871,87620,98140,133244,1697620060.0
1714650039828820333,126,244,9,1,30,58167,14161,19265,96597,1697610740.0
1714650039828820333,127,25,1,1,1,1493,415,37428,1279,1697612298.0
1714650039828820333,128,82,13,0,2,6431,2305,343177,20279,1697612570.0
1714650039828820333,129,306,75,1,15,8657,421,51836,8583,1697612824.0
1714650039828820333,130,211,36,0,1,6298,89,48660,7435,1697613567.0
1714650039828820333,131,27,12,0,0,1118,7939,117365,311493,1697616582.0
1714650039828820333,132,3,0,0,0,162,3571,33869,58554,1697619723.0
1714650039828820333,133,236,42,3,4,8755,163,116964,30001,1697620194.0
1714650039828820333,134,115,10,1,3,3099,399,75840,120028,1697620499.0
1714650039828820333,135,103,12,0,5,3322,3091,32518,19140,1697620738.0
1714650039828820333,136,109,5,1,16,11279,8714,16475,56027,1697610634.0
1714650039828820333,137,301,73,3,3,13392,785,96533,64591,1697612984.0
1714650039828820333,138,38,0,2,14,7573,3084,3266609,26420,1697623666.0
1714650039828820333,139,112,27,1,13,7410,297,30239,10769,1697623803.0
1714650039828820333,140,639,69,4,21,19251,6329,53594,44750,1697629729.0
1714650039828820333,141,26,1,1,6,6339,942,29033,95961,1697630128.0
1714650039828820333,142,435,35,3,3,6342,3472,24167,58419,1697631374.0
1714650039828820333,143,57,10,2,2,3851,495,295,6877,1697634018.0
1714650039828820333,144,58,6,1,4,2956,222,790,6278,1697643003.0
1714650039828820333,145,75,3,1,6,10873,1069,3475,112512,1697644237.0
1714650039828820333,146,4715,327,8,119,77288,512,154775,79186,1697610701.0
1714650039828820333,147,61,7,0,6,9790,38312,96969,247552,1697622007.0
1714650039828820333,148,4668,379,12,81,247787,630,729,8850,1697622093.0
1714650039828820333,149,466,45,2,40,26971,803,38545,25774,1697625309.0
1714650039828820333,150,61,3,0,4,6415,811,5226,28693,1697663558.0
1714650039828820333,151,424,22,0,9,32775,74,3389,27399,1697666542.0
1714650039828820333,152,30,0,0,4,5294,1828,4271,4487,1697686054.0
1714650039828820333,153,1,0,0,0,11,53,12,254,1697696137.0
1714650039828820333,154,0,0,0,0,78,626,391,9986,1697697576.0
1714650039828820333,155,1,0,0,0,4138,1141,861,15278,1697697988.0
1714650039828820333,156,10,1,0,2,1676,10737,15435,297229,1697621992.0
1714650039828820333,157,26,5,3,3,7286,134,423,988,1697639571.0
1714650039828820333,158,51,3,1,6,3404,61,1649,57217,1697644550.0
1714650039828820333,159,8,0,0,2,435,835,61918,80112,1697656014.0
1714650039828820333,160,111,4,0,8,32286,590,8236,5491,1697663465.0
1714650039828820333,161,52,9,0,4,1791,181,174,2095,1697675797.0
1714650039828820333,162,3,0,0,0,17,453,210,2239,1697697353.0
1714650039828820333,163,2,0,0,0,92,262,34661,10667,1697701311.0
1714650039828820333,164,5,0,0,0,1197,1105,14039,5345,1697706000.0
1714650039828820333,165,1,0,0,0,91,123,253,3654,1697706547.0
1714650039828820333,166,441,18,1,9,9557,51299,109608,297518,1697629812.0
1714650039828820333,167,1,0,0,0,206,214,361,2417,1697698539.0
1714650039828820333,168,1,0,0,0,8,774,125,1810,1697814858.0
1714650039828820333,169,1,0,0,0,7,1292,920,20872,1698780374.0
1714650039828820333,170,2,0,0,0,7,1292,920,20872,1698780417.0
1714650039828820333,171,149,8,1,9,21193,945,7318,40142,1697610622.0
1714650039828820333,172,4,0,0,1,329,940,1206,4823,1697685300.0
1714650039828820333,173,2,0,0,0,84,27,56,1577,1697710359.0
1714650039828820333,174,663,75,8,151,19155,62301,109122,19086,1697611585.0
1714650039828820333,175,532,35,2,37,11468,31021,33769,26481,1697610800.0
1714650039828820333,176,209,28,4,19,7061,28476,32341,62437,1697643239.0
1714650039828820333,177,13,1,0,4,1947,3021,53992,13224,1697614666.0
1714650039828820333,178,94,2,1,8,19870,509,728,3992,1697645552.0
1714650039828820333,179,8,2,0,1,2420,1663,4919,27565,1697660243.0
1714650039828820333,180,1,0,0,0,47,798,254,3034,1697719023.0
1714650039828820333,181,1,0,0,0,19,1314,1239,16392,1698039014.0
1714650039828820333,182,80,8,1,9,12174,1995,3751,10709,1697629821.0
1714650039828820333,183,683,61,3,26,22161,7054,6410,64771,1697615645.0
1714650039828820333,184,612,56,4,35,20346,7054,6410,64771,1697615690.0
1714650039828820333,185,38,7,1,1,2576,9734,20816,66428,1697626677.0
1714650039828820333,186,3,0,0,1,142,152,87,351,1697689274.0
1714650039828820333,187,1,0,0,0,52,2937,961,5115,1697716759.0
1714650039828820333,188,1,0,0,0,11,134,6,1399,1697856459.0
1714650039828820333,189,0,0,0,0,31,1086,1495,13897,1697709604.0
1714650039828820333,190,0,0,0,0,30,1086,1495,13897,1697709614.0
1714650039828820333,191,0,0,0,0,30,1086,1495,13897,1697709637.0
1714650039828820333,192,1,0,0,0,14,1086,1495,13897,1697709662.0
1714650039828820333,193,1,0,0,0,3322,2495,3959,21100,1697718370.0
1714650039828820333,194,2,0,0,0,35,1364,6648,50855,1697901993.0
1714650039828820333,195,2,0,0,0,4,136,36,412,1698047387.0
1714650039828820333,196,18,2,1,3,3480,3806,190345,541399,1697610746.0
1714650039828820333,197,15,1,1,8,6280,3806,190345,541399,1697610759.0
